TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
BRGE6;CONSORCIO ALFA DE ADMINISTRACAO S.A.;Financeiro;Seguradoras;0.73;0.58;0.58;8.5;8.59;6.82;6.82
BRGE8;CONSORCIO ALFA DE ADMINISTRACAO S.A.;Financeiro;Seguradoras;0.31;0.24;0.24;8.9;3.48;2.7;2.7
BRIV3;BCO ALFA DE INVESTIMENTO S.A.;Financeiro;Bancos;0.02;0.05;0.04;6.35;0.31;0.79;0.63
BRIV4;BCO ALFA DE INVESTIMENTO S.A.;Financeiro;Bancos;0.6;0.47;0.47;6.24;9.62;7.53;7.53
BRKM3;BRASKEM S.A.;Materiais Básicos;Petroquímicos;7.54;1.92;0.93;43.5;17.33;4.41;2.14
BRKM5;BRASKEM S.A.;Materiais Básicos;Petroquímicos;7.54;1.98;1.23;44.09;17.1;4.49;2.79
BRKM6;BRASKEM S.A.;Materiais Básicos;Petroquímicos;0.61;0.61;0.61;26.04;2.34;2.34;2.34
BRML3;BR MALLS PARTICIPACOES S.A.;Financeiro;Exploração de Imóveis;0;0.27;0.12;8.05;0.0;3.35;1.49
BRPR3;BR PROPERTIES S.A.;Financeiro;Exploração de Imóveis;0.2;0.86;0.18;8.6;2.33;10.0;2.09
BRSR3;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Financeiro;Bancos;1.27;0.75;0.69;11.97;10.61;6.27;5.76
BRSR5;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Financeiro;Bancos;1.52;0.86;0.66;17.1;8.89;5.03;3.86
BRSR6;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Financeiro;Bancos;1.27;0.87;0.8;9.95;12.76;8.74;8.04
BSLI3;BRB BCO DE BRASILIA S.A.;Financeiro;Bancos;0.49;0.42;0.36;22;2.23;1.91;1.64
BSLI4;BRB BCO DE BRASILIA S.A.;Financeiro;Bancos;0.54;0.39;0.26;17.35;3.11;2.25;1.5
CALI4;CONSTRUTORA ADOLPHO LINDENBERG S.A.;Consumo Cíclico;Incorporações;0;3.39;2.79;50;0.0;6.78;5.58
CAML3;CAMIL ALIMENTOS S.A.;Consumo não Cíclico;Alimentos Diversos;0.25;0.13;0.08;10.23;2.44;1.27;0.78
CARD3;CSU CARDSYSTEM S.A.;Financeiro;Serviços Financeiros Diversos;0.41;0.23;0.28;13.07;3.14;1.76;2.14
CASN4;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;Utilidade Pública;água e Saneamento;0.04;0.02;0.01;10;0.4;0.2;0.1
CBEE3;AMPLA ENERGIA E SERVICOS S.A.;Utilidade Pública;Energia Elétrica;0.14;0.11;0.0;19.21;0.73;0.57;0.0
CCRO3;CCR S.A.;Bens Industriais;Exploração de Rodovias;0.17;0.59;0.62;13.05;1.3;4.52;4.75
CEAB3;CEA MODAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0;0.03;0.0;2.73;0.0;1.1;0.0
CEBR3;CIA ENERGETICA DE BRASILIA;Utilidade Pública;Energia Elétrica;106.4;11.25;0.05;14.93;712.66;75.35;0.33
CEBR5;CIA ENERGETICA DE BRASILIA;Utilidade Pública;Energia Elétrica;106.4;13.06;1.96;12.39;858.76;105.41;15.82
CEBR6;CIA ENERGETICA DE BRASILIA;Utilidade Pública;Energia Elétrica;117.04;12.48;0.05;13;900.31;96.0;0.38
CEDO3;CIA FIACAO TECIDOS CEDRO CACHOEIRA;Consumo Cíclico;Fios e Tecidos;0;0.12;0.0;7;0.0;1.71;0.0
CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;Consumo Cíclico;Fios e Tecidos;0;0.08;0.0;4.49;0.0;1.78;0.0
CEEB3;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Utilidade Pública;Energia Elétrica;6.03;1.6;0.81;37.5;16.08;4.27;2.16
CEEB5;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Utilidade Pública;Energia Elétrica;6.03;1.6;0.81;34.49;17.48;4.64;2.35
CEED3;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Utilidade Pública;Energia Elétrica;0;0.0;0.0;42;0.0;0.0;0.0
CEED4;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Utilidade Pública;Energia Elétrica;0;0.0;0.0;65.5;0.0;0.0;0.0
CEGR3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;Utilidade Pública;Gás;2.16;1.53;1.04;89;2.43;1.72;1.17
CEPE3;CIA ENERGETICA DE PERNAMBUCO - CELPE;Utilidade Pública;Energia Elétrica;2.96;1.1;0.95;128;2.31;0.86;0.74
CEPE5;CIA ENERGETICA DE PERNAMBUCO - CELPE;Utilidade Pública;Energia Elétrica;2.96;1.2;0.95;40.01;7.4;3.0;2.37
CEPE6;CIA ENERGETICA DE PERNAMBUCO - CELPE;Utilidade Pública;Energia Elétrica;3.26;1.24;1.05;40.16;8.12;3.09;2.61
CGAS3;CIA GAS DE SAO PAULO - COMGAS;Utilidade Pública;Gás;12.19;6.98;7.27;120;10.16;5.82;6.06
CGAS5;CIA GAS DE SAO PAULO - COMGAS;Utilidade Pública;Gás;13.41;7.74;7.99;125.54;10.68;6.17;6.36
CGRA3;GRAZZIOTIN S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;1.35;1.0;1.01;29.4;4.59;3.4;3.44
CGRA4;GRAZZIOTIN S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;1.35;1.06;1.01;29.2;4.62;3.63;3.46
CIEL3;CIELO S.A.;Financeiro;Serviços Financeiros Diversos;0.18;1.07;0.76;3.78;4.76;28.31;20.11
CLSC3;CENTRAIS ELET DE SANTA CATARINA S.A.;Utilidade Pública;Energia Elétrica;6.19;1.45;0.47;57;10.86;2.54;0.82
CLSC4;CENTRAIS ELET DE SANTA CATARINA S.A.;Utilidade Pública;Energia Elétrica;6.81;1.51;1.03;58.91;11.56;2.56;1.75
CMIG3;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Utilidade Pública;Energia Elétrica;1.37;0.71;0.57;14.9;9.19;4.77;3.83
CMIG4;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Utilidade Pública;Energia Elétrica;1.37;0.82;0.73;10.92;12.55;7.51;6.68
