TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
TASA3;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições;0;0.01;0.0;18.39;0.0;0.05;0.0
TASA4;TAURUS ARMAS S.A.;Bens Industriais;Armas e Munições;0;0.01;0.0;18.3;0.0;0.05;0.0
TCNO3;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva;0;0.0;0.0;1.43;0.0;0.0;0.0
TCNO4;TECNOSOLO ENGENHARIA S.A.;Bens Industriais;Engenharia Consultiva;0;0.0;0.0;1.17;0.0;0.0;0.0
TCSA3;TECNISA S.A.;Consumo Cíclico;Incorporações;0;0.24;0.0;2.13;0.0;11.27;0.0
TECN3;TECHNOS S.A.;Consumo Cíclico;Acessórios;0;0.14;0.05;2.38;0.0;5.88;2.1
TEKA3;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;26.1;0.0;0.0;0.0
TEKA4;TEKA-TECELAGEM KUEHNRICH S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;12.27;0.0;0.0;0.0
TELB3;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações;0;0.0;0.0;31.5;0.0;0.0;0.0
TELB4;TELEC BRASILEIRAS S.A. TELEBRAS;Comunicações;Telecomunicações;0;0.0;0.0;13.9;0.0;0.0;0.0
TEND3;CONSTRUTORA TENDA S.A.;Consumo Cíclico;Incorporações;0.18;0.15;0.0;4.27;4.22;3.51;0.0
TFCO4;TRACK & FIELD CO S.A.;Consumo Cíclico;Vestuário;0.15;0.02;0.0;9.33;1.61;0.21;0.0
TGMA3;TEGMA GESTAO LOGISTICA S.A.;Bens Industriais;Transporte Rodoviário;0.79;0.66;0.57;14.65;5.39;4.51;3.89
TKNO4;TEKNO S.A. - INDUSTRIA E COMERCIO;Materiais Básicos;Artefatos de Ferro e Aço;2.08;2.23;0.8;79.93;2.6;2.79;1.0
TOTS3;TOTVS S.A.;Tecnologia da Informação;Programas e Serviços;0.31;0.39;0.31;26.23;1.18;1.49;1.18
TPIS3;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Bens Industriais;Exploração de Rodovias;0.04;0.14;0.12;1.36;2.94;10.29;8.82
TRIS3;TRISUL S.A.;Consumo Cíclico;Incorporações;0.24;0.11;0.1;3.4;7.06;3.24;2.94
TRPL3;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Utilidade Pública;Energia Elétrica;3.59;1.78;1.46;30;11.97;5.93;4.87
TRPL4;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Utilidade Pública;Energia Elétrica;3.59;1.77;1.46;22.94;15.65;7.72;6.36
TUPY3;TUPY S.A.;Bens Industriais;Material Rodoviário;0.43;0.63;0.61;23.08;1.86;2.73;2.64
TXRX3;TEXTIL RENAUXVIEW S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;26.96;0.0;0.0;0.0
TXRX4;TEXTIL RENAUXVIEW S.A.;Consumo Cíclico;Fios e Tecidos;0;0.0;0.0;5.05;0.0;0.0;0.0
UCAS3;UNICASA INDÚSTRIA DE MÓVEIS S.A.;Consumo Cíclico;Móveis;0.21;0.23;0.09;3;7.0;7.67;3.0
UGPA3;ULTRAPAR PARTICIPACOES S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição;0.64;0.87;0.83;12.75;5.02;6.82;6.51
UNIP3;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos;11.18;1.84;0.23;86.99;12.85;2.12;0.26
UNIP5;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos;12.3;2.15;0.41;99.12;12.41;2.17;0.41
UNIP6;UNIPAR CARBOCLORO S.A.;Materiais Básicos;Químicos Diversos;12.3;2.03;0.25;97.18;12.66;2.09;0.26
USIM3;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia;1.3;0.16;0.01;9.86;13.18;1.62;0.1
USIM5;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia;1.43;0.19;0.05;10.11;14.14;1.88;0.49
USIM6;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Materiais Básicos;Siderurgia;1.43;0.17;0.02;14.5;9.86;1.17;0.14
VALE3;VALE S.A.;Materiais Básicos;Minerais Metálicos;12.46;2.66;1.79;84.56;14.74;3.15;2.12
VAMO3;VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A.;Consumo Cíclico;Aluguel de carros;0.39;0.04;0.0;13.65;2.86;0.29;0.0
VIVA3;VIVARA PARTICIPAÇOES S.A;Consumo Cíclico;Acessórios;0.33;0.06;0.0;21.24;1.55;0.28;0.0
VIVR3;VIVER INCORPORADORA E CONSTRUTORA S.A.;Consumo Cíclico;Incorporações;0;0.0;0.0;0.81;0.0;0.0;0.0
VIVT3;TELEFÔNICA BRASIL S.A;Comunicações;Telecomunicações;3.46;3.1;2.85;46.8;7.39;6.62;6.09
VLID3;VALID SOLUÇÕES S.A.;Bens Industriais;Serviços Diversos;0;0.7;0.67;9.88;0.0;7.09;6.78
VULC3;VULCABRAS S.A.;Consumo Cíclico;Calçados;0.7;0.07;0.0;10.76;6.51;0.65;0.0
WEGE3;WEG S.A.;Bens Industriais;Motores . Compressores e Outros;0.4;0.39;0.33;24;1.67;1.62;1.38
WHRL3;WHIRLPOOL S.A.;Consumo Cíclico;Eletrodomésticos;0.59;0.53;0.43;5;11.8;10.6;8.6
WHRL4;WHIRLPOOL S.A.;Consumo Cíclico;Eletrodomésticos;0.65;0.58;0.47;5.08;12.8;11.42;9.25
WIZS3;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;Financeiro;Corretoras de Seguros;0.61;0.47;0.56;8;7.62;5.88;7.0
WLMM3;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Bens Industriais;Material de Transporte;0.91;0.16;0.0;27.84;3.27;0.57;0.0
WLMM4;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;Bens Industriais;Material de Transporte;1.01;0.64;0.29;30.97;3.26;2.07;0.94
YDUQ3;YDUQS PARTICIPACOES S.A.;Consumo Cíclico;Serviços Educacionais;0.47;0.62;0.4;14.25;3.3;4.35;2.81
