TICKET;EMPRESA;SETOR;SEGMENTO
DMMO3;DOMMO ENERGIA S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Saúde;Medicamentos e Outros Produtos
DOHL3;DOHLER S.A.;Consumo Cíclico;Fios e Tecidos
DOHL4;DOHLER S.A.;Consumo Cíclico;Fios e Tecidos
DOTZ3;Dotz S.A.;Consumo Cíclico;Programas de Fidelização
DTCY3;DTCOM - DIRECT TO COMPANY S.A.;Bens Industriais;Serviços Diversos
EALT3;ELECTRO ACO ALTONA S.A.;Bens Industriais;Máq. e Equip. Industriais
EALT4;ELECTRO ACO ALTONA S.A.;Bens Industriais;Máq. e Equip. Industriais
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Bens Industriais;Exploração de Rodovias
ECPR3;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;Consumo Cíclico;Fios e Tecidos
ECPR4;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;Consumo Cíclico;Fios e Tecidos
EEEL3;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;Utilidade Pública;Energia Elétrica
EEEL4;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;Utilidade Pública;Energia Elétrica
EGIE3;ENGIE BRASIL ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EKTR3;ELEKTRO REDES S.A.;Utilidade Pública;Energia Elétrica
EKTR4;ELEKTRO REDES S.A.;Utilidade Pública;Energia Elétrica
ELET3;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica
ELET5;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica
ELET6;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Utilidade Pública;Energia Elétrica
ELMD3;ELETROMIDIA S.A.;Comunicações;Publicidade e Propaganda
EMAE3;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EMBR3;EMBRAER S.A.;Bens Industriais;Material Aeronáutico e de Defesa
ENAT3;ENAUTA PARTICIPAÇÕES S.A.;Petróleo. Gás e Biocombustíveis;Exploração. Refino e Distribuição
ENBR3;EDP - ENERGIAS DO BRASIL S.A.;Utilidade Pública;Energia Elétrica
ENEV3;ENEVA S.A;Utilidade Pública;Energia Elétrica
ENGI11;ENERGISA S.A.;Utilidade Pública;Energia Elétrica
ENGI3;ENERGISA S.A.;Utilidade Pública;Energia Elétrica
ENGI4;ENERGISA S.A.;Utilidade Pública;Energia Elétrica
ENJU3;ENJOEI S.A.;Tecnologia da Informação;Programas e Serviços
ENMT3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilidade Pública;Energia Elétrica
ENMT4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilidade Pública;Energia Elétrica
EQMA3B;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EQPA7;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilidade Pública;Energia Elétrica
EQTL3;EQUATORIAL ENERGIA S.A.;Utilidade Pública;Energia Elétrica
ESPA3;MPM CORPÓREOS S.A.;Consumo Cíclico;Produtos Diversos
